                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2466,                0.74505,                 1.2273,                0.94134,                0.90024,                0.95323,                0.63262,                 1.2324,                0.67513,                 1.2922,             0.00066467,             0.00066467,             0.00066467
                      2,                 1.2964,                 0.8006,                 1.2499,                0.91731,                0.87711,                0.93654,                0.59788,                 1.2924,                0.75253,                 1.3398,              0.0013094,              0.0013094,              0.0013094
                      3,                 1.3451,                0.86778,                 1.2838,                 0.9296,                0.86554,                0.93463,                 0.5894,                 1.3047,                0.76337,                 1.3365,              0.0019321,              0.0019321,              0.0019321
                      4,                 1.3631,                0.88418,                 1.2896,                0.92219,                0.84434,                0.91511,                0.58087,                 1.3344,                0.83167,                  1.351,               0.001901,               0.001901,               0.001901
                      5,                 1.3621,                0.86001,                  1.287,                0.92501,                0.84574,                 0.9299,                0.59122,                  1.317,                0.80395,                  1.354,               0.001901,               0.001901,               0.001901
                      6,                 1.3556,                0.86351,                 1.2844,                0.91645,                0.84004,                0.92247,                0.58839,                 1.3238,                0.79678,                 1.3752,               0.001868,               0.001868,               0.001868
                      7,                 1.3624,                 0.8567,                  1.287,                0.91854,                0.88356,                0.93679,                0.59372,                 1.3217,                0.75498,                 1.3479,               0.001835,               0.001835,               0.001835
                      8,                 1.3338,                0.82479,                 1.2753,                0.92827,                0.88513,                0.94189,                0.60842,                 1.2964,                0.73484,                 1.3321,               0.001802,               0.001802,               0.001802
                      9,                 1.3023,                0.80984,                 1.2664,                0.90353,                0.89243,                0.94016,                0.60103,                 1.3104,                0.74195,                 1.3311,               0.001769,               0.001769,               0.001769
                     10,                  1.309,                0.80807,                 1.2586,                0.92185,                0.88157,                0.94162,                0.60932,                 1.2673,                0.75438,                 1.3135,               0.001736,               0.001736,               0.001736
                     11,                 1.2819,                0.78596,                 1.2445,                0.93687,                0.88537,                0.94096,                 0.6164,                 1.2447,                0.74187,                 1.3101,               0.001703,               0.001703,               0.001703
                     12,                 1.2894,                0.78616,                 1.2486,                0.93537,                0.88931,                0.95462,                0.62655,                 1.2423,                0.69612,                 1.3072,                0.00167,                0.00167,                0.00167
                     13,                 1.2715,                0.77583,                 1.2329,                0.94006,                0.90027,                 0.9557,                0.63098,                 1.2389,                0.68587,                 1.3184,               0.001637,               0.001637,               0.001637
                     14,                 1.2648,                0.77075,                 1.2397,                0.94983,                0.88424,                0.95631,                0.62534,                 1.2374,                0.70044,                 1.3007,               0.001604,               0.001604,               0.001604
                     15,                 1.2482,                0.76442,                  1.223,                0.93717,                0.90472,                0.95285,                0.62404,                 1.2317,                0.68408,                 1.2941,               0.001571,               0.001571,               0.001571
                     16,                 1.2395,                0.74476,                 1.2109,                0.91157,                0.90873,                0.95444,                0.63834,                 1.2172,                0.66537,                 1.2977,               0.001538,               0.001538,               0.001538
                     17,                 1.2454,                0.73895,                 1.2263,                0.94598,                0.90439,                0.95902,                0.62496,                 1.2551,                0.67948,                 1.3197,               0.001505,               0.001505,               0.001505
